chair,Home and Garden,0,10002,14,80.000000,12345,0.150000,5555
Coffee Table,Home and Garden,0,10001,30,99.989998,12345,0.100000,5555
Milk,Grocery,1,10003,30,2.990000,0,0.000000,5555
Shampoo,Health and Beauty,2,10004,30,5.990000,0,0.000000,5555
Soap,Health and Beauty,2,10005,30,2.990000,0,0.000000,5555
Lamp,Home and Garden,0,10006,35,49.990002,0,0.000000,5555
Mattress,Home and Garden,0,10007,40,599.989990,12345,0.100000,5555
Jeans,Clothing and Shoes,3,10008,40,30.990000,0,0.000000,5555
Cycle,Automotive,5,10009,35,299.989990,12345,0.100000,5556
Yogurt,Grocery,1,10010,20,4.990000,0,0.000000,5556
Vitamins,Health and Beauty,2,10011,35,8.990000,0,0.000000,5556
Bread,Grocery,1,10012,25,2.990000,0,0.000000,5556
Nail polish,Health and Beauty,2,10013,35,8.990000,0,0.000000,5556
Dining table,Home and Garden,0,10014,25,235.990005,12345,0.100000,5556
Speaker,Electronics,6,10015,25,199.990005,0,0.000000,5556
